id;id_student;id_offer;attached_cv;attached_cv_content_type
1;91927;92940;../fake-data/blob/hipster.png;image/png
2;27231;86260;../fake-data/blob/hipster.png;image/png
3;10820;16865;../fake-data/blob/hipster.png;image/png
4;45128;6834;../fake-data/blob/hipster.png;image/png
5;94721;65628;../fake-data/blob/hipster.png;image/png
6;89978;78811;../fake-data/blob/hipster.png;image/png
7;11360;41070;../fake-data/blob/hipster.png;image/png
8;37671;74519;../fake-data/blob/hipster.png;image/png
9;36694;3671;../fake-data/blob/hipster.png;image/png
10;82403;42177;../fake-data/blob/hipster.png;image/png
